id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35303,"La Casa Gaienmae C Harajuku, Omotesando is nearby",151977,Miyuki,,Shibuya Ku,35.67152,139.71203,Private room,4183,28,18,2018-07-28,0.18,3,89
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71721,139.82596,Entire home/apt,11048,3,165,2020-03-04,1.57,1,271
289597,Private apt in central Tokyo #203,341577,Hide&Kei,,Nerima Ku,35.74267,139.6581,Entire home/apt,4171,28,113,2020-02-17,1.18,2,241
370759,"Cozy flat #203, local area YET 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66443,139.65707,Entire home/apt,6952,28,103,2020-04-16,1.39,3,364
700253,Private apt in central Tokyo #201,341577,Hide&Kei,,Nerima Ku,35.74264,139.65832,Entire home/apt,3957,28,103,2019-10-04,1.12,2,340
872235,RELAX AT HOME:Shimo 5'/Shibuya 10',1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66832,139.65159,Entire home/apt,8045,28,44,2020-01-04,0.51,3,1
899003,"Classy room @Shinjuku, Takadanoba",4799233,Yu,,Shinjuku Ku,35.70865,139.69681,Entire home/apt,5149,30,93,2019-11-25,1.06,2,172
905944,4F - Near Shinjuku & Shibuya w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67878,139.67847,Entire home/apt,9653,3,185,2020-03-27,2.15,11,261
1016831,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,5596383,Wakana,,Setagaya Ku,35.65833,139.67153,Private room,6952,1,211,2020-03-16,2.45,1,0
1033276,private room @Senju area,5686404,Yukiko,,Adachi Ku,35.74253,139.7973,Private room,3530,1,72,2018-06-17,0.85,2,207
1096292,Home stay with a Japanese language teacher family.,6018145,Mari,,Shinjuku Ku,35.69098,139.70618,Private room,10726,1,251,2020-02-15,3.11,2,364
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74409,139.79895,Private room,3530,2,95,2020-03-17,1.16,2,123
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,31980,4,98,2020-03-09,1.22,1,353
